Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_Eq. Guinea,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Ivory Coast,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_N.Ireland,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Tunisia,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_Venezuela,Country_nan
Endrick,28,68,Resolute,10000,271.0,2037-06-30,575000.0,62.0,Spain (First Division),Spanish First Division,2032-08-14,62.0,12,19,12,18,15,16,19,13,18,13,12,17,13,15,18,17,5,17,15,16,19,17,12,17,18,17,13,15,6,12,14,10,17,14,12,15,,7.17,22,Not set,- - -,22,0,Spain,907.0,25.607118412046542,2.3928815879534566,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Emili Artiga,26,69,Determined,9240,241.5,2039-06-30,325000.0,84.0,England (Premier Division),English Premier Division,2034-05-02,84.0,16,15,9,13,10,14,17,7,15,10,10,14,13,19,20,16,6,16,16,12,18,18,12,16,12,14,13,8,6,7,11,6,15,13,5,15,,7.61,24 (1),Not set,- - -,25,0,England,1637.0,25.32101300479124,0.6789869952087612,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vitor Roque,29,69,Fairly Professional,10000,240.5,2037-06-30,375000.0,34.5,Spain (First Division),Spanish First Division,2031-08-17,38.5,11,17,12,20,15,16,16,13,18,13,12,17,13,11,18,16,7,15,15,15,16,16,14,15,18,16,13,14,8,12,11,10,17,14,14,17,,7.39,22,Not set,- - -,22,0,Spain,907.0,25.61327857631759,3.3867214236824092,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
João Veloso,29,73,Spirited,8635,239.5,2038-06-30,300000.0,63.0,England (Premier Division),English Premier Division,2032-12-28,70.0,10,15,11,15,13,15,17,11,15,13,12,17,14,15,16,14,14,16,15,14,16,15,11,12,12,16,9,13,3,12,14,12,16,16,11,11,,7.33,22 (2),Not set,- - -,24,0,England,1272.0,26.979466119096507,2.020533880903491,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aarón Ojeda,24,74,Model Professional,10000,224.5,2039-06-30,375000.0,113.0,England (Premier Division),English Premier Division,2032-06-21,120.0,9,15,8,13,14,13,20,8,18,13,13,17,14,20,20,18,16,18,15,15,14,17,9,17,18,16,15,11,12,10,14,6,17,14,14,14,,7.30,22,Not set,- - -,22,0,England,1637.0,21.45927446954141,2.54072553045859,5.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Noah Darvich,28,72,Professional,9295,219.0,2038-06-30,525000.0,2.1,Spain (First Division),Spanish First Division,2033-08-06,2.1,8,15,9,17,14,15,17,15,16,12,12,17,12,14,17,15,13,16,14,14,16,16,15,16,13,16,9,13,6,12,16,8,16,16,14,14,,7.83,20,Not set,- - -,20,0,Spain,1272.0,26.584531143052704,1.4154688569472964,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Enrico Brancadori,23,76,Resolute,7449,216.5,2038-06-30,215000.0,49.5,Italy (Serie A),Italian Serie A,2033-07-12,35.5,9,15,11,15,15,18,12,8,12,15,12,16,11,16,17,15,18,15,15,15,16,15,5,11,5,13,17,8,9,15,3,14,16,17,9,6,,7.03,24,Not set,- - -,24,0,Italy,1272.0,21.5160848733744,1.483915126625599,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Estêvão,27,70,Fairly Professional,10000,215.0,2038-06-30,475000.0,20.0,Italy (Serie A),Italian Serie A,2033-07-25,20.0,8,15,8,17,12,17,17,15,17,11,12,18,13,10,18,17,7,16,14,14,16,15,13,18,18,16,11,13,13,12,11,11,17,15,14,15,nEU,7.50,19 (2),Not set,- - -,21,0,Italy,1272.0,25.55167693360712,1.4483230663928817,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Predrag Stevanović,21,73,Driven,7302,214.0,2038-06-30,130000.0,6.75,Italy (Serie A),Italian Serie A,2034-01-16,6.75,12,16,10,18,13,15,16,11,18,10,10,12,13,20,16,18,16,15,15,14,12,15,10,14,18,18,17,14,8,7,9,3,17,10,17,11,,7.08,20 (2),Not set,- - -,22,0,Italy,1272.0,20.030800821355236,0.9691991786447639,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wassim Claramunt,26,68,Fairly Determined,9790,207.5,2038-06-30,500000.0,74.0,England (Premier Division),English Premier Division,2033-04-23,44.0,9,16,11,14,12,15,18,9,17,11,12,14,14,17,19,17,2,16,17,13,15,16,10,17,12,16,8,16,3,9,14,8,17,16,5,16,,7.87,24 (1),Not set,- - -,25,0,England,1272.0,24.297056810403834,1.702943189596167,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Exequiel Giménez,26,67,Spirited,8965,215.5,2039-06-30,450000.0,6.25,England (Premier Division),English Premier Division,2034-11-16,6.25,12,15,10,14,11,14,17,16,14,12,14,14,11,15,19,15,4,14,15,10,14,15,5,12,15,15,9,10,8,7,8,5,14,11,8,15,,7.20,24,Not set,- - -,24,0,England,1637.0,25.863107460643395,0.13689253935660506,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
El Chadaille Bitshiabu,29,77,Resolute,8580,201.5,2037-06-30,300000.0,34.5,Italy (Serie A),Italian Serie A,2034-12-11,51.0,13,17,14,14,16,14,10,16,11,15,12,13,13,16,15,15,18,16,13,16,14,14,1,12,6,12,13,7,13,14,1,13,13,14,6,8,,7.27,23,Not set,- - -,23,0,Italy,907.0,28.9315537303217,0.06844626967830253,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joaquín Alegre,26,78,Model Professional,10000,211.0,2039-06-30,375000.0,76.0,England (Premier Division),English Premier Division,2034-04-21,76.0,15,18,13,18,13,15,18,10,17,13,11,13,12,18,14,17,17,16,16,14,16,16,8,17,17,15,14,10,5,12,6,8,17,14,10,11,,7.12,24 (1),Not set,- - -,25,0,England,1637.0,25.290896646132786,0.7091033538672142,5.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gavi,30,69,Perfectionist,9019,199.5,2037-06-30,375000.0,69.0,England (Premier Division),English Premier Division,2034-07-08,62.0,19,15,19,14,15,15,17,15,16,12,14,16,17,18,17,15,5,14,13,12,17,14,11,12,11,15,7,10,7,12,11,12,14,17,9,13,,7.26,20 (2),Not set,- - -,22,0,England,907.0,29.50444900752909,0.49555099247091033,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
