Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Argentina,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Greece,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Jamal Musiala,31,72,Professional,10000,,2037-06-30,400000.0,127.0,England (Premier Division),English Premier Division,2035-01-04,98.0,12,16,13,18,12,16,19,8,15,12,13,15,14,16,19,16,12,16,14,12,16,14,10,17,14,16,9,13,5,13,11,10,18,17,13,12,,7.36,16,Not set,- - -,16,0,England,907.0,30.99726214921287,0.0027378507871321013,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Florian Wirtz,31,70,Resilient,9978,,2036-06-30,400000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-05-17,77.0,12,15,13,17,13,15,18,13,15,11,12,19,15,16,17,14,6,15,16,12,15,15,15,15,13,16,8,12,5,12,16,11,18,17,15,13,Inj,7.56,18 (1),Not set,- - -,19,0,France,542.0,30.362080766598222,0.6379192334017796,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Martin Ødegaard,36,70,Model Professional,9846,12.0,2035-06-30,1800000.0,40.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-12,67.0,8,18,10,17,14,16,17,14,19,11,17,18,15,16,13,13,8,7,10,8,15,9,16,11,13,18,7,15,3,12,16,11,18,17,14,16,Ret,7.39,23 (1),Not set,- - -,24,0,Saudi Arabia,176.0,34.5160848733744,1.483915126625599,5.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Kenan Yıldız,29,73,Resolute,9680,91.5,2036-06-30,375000.0,216.0,England (Premier Division),English Premier Division,2031-07-21,157.0,9,16,12,16,14,15,18,11,16,10,12,16,12,16,17,14,13,15,15,13,15,15,15,16,16,16,8,14,6,9,15,8,16,14,12,15,Wnt,7.14,17,Not set,- - -,17,0,England,542.0,25.539356605065024,3.460643394934976,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rúben Cunha,24,74,Fairly Determined,9680,309.5,2039-06-30,400000.0,98.0,England (Premier Division),English Premier Division,2034-08-15,73.0,9,17,8,19,14,15,17,9,18,15,12,18,15,15,18,18,16,15,14,16,13,16,9,16,10,17,12,14,8,11,13,6,17,17,9,11,,7.19,20,Not set,- - -,20,0,England,1637.0,23.60848733744011,0.3915126625598905,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jan Sarsanedas,26,70,Model Citizen,9625,200.0,2039-06-30,400000.0,72.0,Spain (First Division),Spanish First Division,2034-11-21,114.0,6,16,10,16,13,16,16,17,15,13,12,16,13,15,18,17,9,16,17,13,15,16,10,15,12,17,10,11,5,12,14,9,17,18,8,12,,6.96,18,Not set,- - -,18,0,Spain,1637.0,25.876796714579054,0.12320328542094455,0.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Pedri,32,69,Fairly Professional,9557,,2036-06-30,450000.0,6.25,Spain (First Division),Spanish First Division,2034-06-12,6.25,10,19,11,19,15,16,17,12,14,12,12,18,16,14,16,14,5,13,14,9,14,14,11,16,11,18,6,12,5,10,12,9,18,17,12,16,,7.46,20,Not set,- - -,20,0,Spain,542.0,31.433264887063654,0.5667351129363449,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Dejan Kulusevski,34,73,Spirited,9381,,2036-06-30,475000.0,53.0,Italy (Serie A),Italian Serie A,2035-01-02,157.0,7,16,8,15,13,16,16,7,16,9,14,16,15,15,13,15,11,11,14,13,15,12,13,14,12,17,6,11,3,6,12,8,17,18,12,13,,7.09,21 (1),Not set,- - -,22,0,Italy,542.0,33.9917864476386,0.008213552361396304,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Noah Darvich,28,72,Professional,9295,219.0,2038-06-30,525000.0,2.1,Spain (First Division),Spanish First Division,2033-08-06,2.1,8,15,9,17,14,15,17,15,16,12,12,17,12,14,17,15,13,16,14,14,16,16,15,16,13,16,9,13,6,12,16,8,16,16,14,14,,7.83,20,Not set,- - -,20,0,Spain,1272.0,26.584531143052704,1.4154688569472964,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Pablo Torre,31,68,Spirited,9179,,2036-06-30,250000.0,44.5,England (Premier Division),English Premier Division,2033-01-27,62.0,12,15,14,16,13,16,17,13,15,11,12,18,13,14,16,13,6,13,13,11,14,15,15,13,13,16,7,12,5,10,16,10,16,17,15,14,,7.18,21,Not set,- - -,21,0,England,542.0,29.06160164271047,1.9383983572895278,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
