Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Croatia,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Italy,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Tunisia,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
William Saliba,33,76,Professional,9970,,2036-06-30,300000.0,27.0,England (Premier Division),English Premier Division,2035-01-03,27.0,15,19,14,18,17,16,12,11,9,15,16,12,16,15,14,15,16,14,14,14,16,14,6,10,10,15,16,10,5,15,6,16,14,15,9,12,,7.18,24,Not set,- - -,24,0,England,542.0,32.99452429842574,0.0054757015742642025,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joško Gvardiol,32,73,Professional,9753,,2036-06-30,650000.0,77.0,England (Premier Division),English Premier Division,2034-01-31,110.0,15,16,17,17,17,15,14,16,12,16,15,15,16,17,14,15,13,14,14,15,17,15,3,12,9,15,13,9,13,16,7,15,15,15,8,16,Unh,7.25,24,Not set,- - -,24,0,England,542.0,31.071868583162217,0.9281314168377823,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ronald Araujo,35,74,Professional,9561,6.300000000000001,2036-06-30,300000.0,0.0,Spain (First Division),Spanish First Division,2034-01-07,1.9,16,17,18,15,18,15,9,16,7,15,14,10,17,18,9,13,15,12,11,11,16,10,6,8,11,13,16,10,9,18,7,16,14,13,13,8,Wnt,7.16,22,Not set,- - -,22,0,Spain,542.0,34.006160164271044,0.9938398357289527,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
António Silva,31,74,Model Citizen,9289,,2036-06-30,300000.0,78.0,Spain (First Division),Spanish First Division,2031-12-30,57.0,11,16,14,16,17,16,13,16,9,14,13,15,13,15,16,16,14,16,16,15,16,15,7,12,8,15,15,5,6,14,6,16,15,16,11,10,,6.97,22,Not set,- - -,22,0,Spain,542.0,27.982888432580424,3.0171115674195756,0.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Giorgio Scalvini,31,76,Professional,9240,,2036-06-30,475000.0,58.0,England (Premier Division),English Premier Division,2031-06-21,47.5,13,18,14,15,17,15,9,12,8,16,15,13,16,15,16,16,16,14,15,15,16,14,5,12,7,13,15,9,6,15,4,15,13,13,4,10,,7.04,20,Not set,- - -,20,0,England,542.0,27.45722108145106,3.542778918548939,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ousmane Diomande,31,75,Perfectionist,9130,,2036-06-30,250000.0,44.0,England (Premier Division),English Premier Division,2034-03-22,50.0,10,16,13,17,14,14,12,15,10,14,13,17,13,15,16,16,15,16,16,17,19,16,4,12,8,15,12,10,8,15,3,15,15,15,4,12,,7.19,28,Not set,- - -,28,0,England,542.0,30.208761122518823,0.7912388774811773,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jules Koundé,36,70,Resolute,9104,2.8125,2035-06-30,1500000.0,6.75,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-15,70.0,14,17,15,13,14,15,12,15,11,16,14,13,16,16,10,12,12,9,10,9,16,7,6,9,11,13,13,5,7,16,6,15,14,15,7,15,Ret,7.17,24 (2),Not set,- - -,26,0,Saudi Arabia,176.0,34.5242984257358,1.4757015742642026,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Illia Zabarnyi,32,73,Spirited,9074,,2036-06-30,275000.0,20.0,England (Premier Division),English Premier Division,2034-05-07,20.0,10,17,13,18,18,16,9,12,12,16,15,13,14,15,16,16,15,15,16,15,17,14,3,10,5,14,14,4,4,15,4,16,13,14,5,3,,7.04,27,Not set,- - -,27,0,England,542.0,31.3347022587269,0.6652977412731006,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ignacio Durá,24,72,Resolute,9061,143.0,2038-06-30,190000.0,67.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-08-08,43.0,15,19,18,15,16,18,8,17,14,16,12,15,16,15,16,18,13,16,17,16,14,16,6,11,6,12,16,6,7,14,4,14,11,13,7,10,,7.10,21,Not set,- - -,21,0,France,1272.0,22.590006844626966,1.4099931553730323,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Radu Drăguşin,32,75,Resolute,9020,178.0,2036-06-30,350000.0,53.0,Italy (Serie A),Italian Serie A,2034-05-20,90.0,14,15,14,13,15,14,11,13,11,15,12,11,13,15,15,15,16,16,15,15,15,16,6,11,7,15,16,7,12,17,6,16,14,14,6,12,,7.24,24,Not set,- - -,24,0,Italy,542.0,31.370294318959616,0.6297056810403833,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
