Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_DR Congo,Country_Denmark,Country_England,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Moisés Caicedo,33,70,Fairly Professional,9999,,2036-06-30,375000.0,209.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-01-14,300.0,13,16,15,16,17,17,16,12,15,18,15,18,17,14,17,15,8,14,15,12,18,16,6,13,11,17,10,13,4,15,12,18,16,18,8,9,Inj,7.34,22,Not set,- - -,22,0,France,542.0,31.026009582477755,1.9739904175222451,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Florian Wirtz,31,70,Resilient,9978,,2036-06-30,400000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-05-17,77.0,12,15,13,17,13,15,18,13,15,11,12,19,15,16,17,14,6,15,16,12,15,15,15,15,13,16,8,12,5,12,16,11,18,17,15,13,Inj,7.56,18 (1),Not set,- - -,19,0,France,542.0,30.362080766598222,0.6379192334017796,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Declan Rice,35,73,Professional,9933,11.75,2036-06-30,325000.0,100.0,England (Premier Division),English Premier Division,2035-01-04,100.0,13,18,15,16,18,18,11,16,15,16,18,14,17,17,9,13,12,11,11,9,19,8,12,11,11,16,13,8,9,15,9,16,16,17,13,15,,6.97,20 (2),Not set,- - -,22,0,England,542.0,34.997262149212865,0.0027378507871321013,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eduardo Camavinga,32,72,Professional,9900,,2036-06-30,475000.0,,Spain (First Division),Spanish First Division,2034-03-07,218.0,15,18,15,15,16,15,12,14,14,17,15,13,18,15,16,16,12,15,17,16,16,15,7,10,12,15,13,12,12,16,5,16,16,16,9,14,,7.49,22,Not set,- - -,22,0,Spain,542.0,31.16769336071184,0.8323066392881588,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Martin Ødegaard,36,70,Model Professional,9846,12.0,2035-06-30,1800000.0,40.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-12,67.0,8,18,10,17,14,16,17,14,19,11,17,18,15,16,13,13,8,7,10,8,15,9,16,11,13,18,7,15,3,12,16,11,18,17,14,16,Ret,7.39,23 (1),Not set,- - -,24,0,Saudi Arabia,176.0,34.5160848733744,1.483915126625599,5.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Rúben Cunha,24,74,Fairly Determined,9680,309.5,2039-06-30,400000.0,98.0,England (Premier Division),English Premier Division,2034-08-15,73.0,9,17,8,19,14,15,17,9,18,15,12,18,15,15,18,18,16,15,14,16,13,16,9,16,10,17,12,14,8,11,13,6,17,17,9,11,,7.19,20,Not set,- - -,20,0,England,1637.0,23.60848733744011,0.3915126625598905,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jan Sarsanedas,26,70,Model Citizen,9625,200.0,2039-06-30,400000.0,72.0,Spain (First Division),Spanish First Division,2034-11-21,114.0,6,16,10,16,13,16,16,17,15,13,12,16,13,15,18,17,9,16,17,13,15,16,10,15,12,17,10,11,5,12,14,9,17,18,8,12,,6.96,18,Not set,- - -,18,0,Spain,1637.0,25.876796714579054,0.12320328542094455,0.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pape Matar Sarr,32,72,Spirited,9625,,2036-06-30,450000.0,13.75,England (Premier Division),English Premier Division,2034-12-29,13.75,11,17,16,17,15,16,15,11,15,16,14,16,15,16,16,16,13,15,17,15,16,15,8,11,9,17,10,12,7,13,9,13,16,17,12,8,,7.15,18 (1),Not set,- - -,19,0,England,542.0,31.980835044490075,0.019164955509924708,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pedri,32,69,Fairly Professional,9557,,2036-06-30,450000.0,6.25,Spain (First Division),Spanish First Division,2034-06-12,6.25,10,19,11,19,15,16,17,12,14,12,12,18,16,14,16,14,5,13,14,9,14,14,11,16,11,18,6,12,5,10,12,9,18,17,12,16,,7.46,20,Not set,- - -,20,0,Spain,542.0,31.433264887063654,0.5667351129363449,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Enzo Fernández,33,70,Ambitious,9439,32.5,2036-06-30,240000.0,103.0,England (Premier Division),English Premier Division,2034-06-05,111.0,15,16,13,15,14,16,15,14,17,14,15,19,15,15,12,14,9,10,13,9,18,9,12,11,12,16,8,15,8,11,9,14,17,18,14,12,,7.16,22,Not set,- - -,22,0,England,542.0,32.41409993155373,0.5859000684462696,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
