Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Italy,Country_Ivory Coast,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Declan Rice,35,73,Professional,9933,11.75,2036-06-30,325000.0,100.0,England (Premier Division),English Premier Division,2035-01-04,100.0,13,18,15,16,18,18,11,16,15,16,18,14,17,17,9,13,12,11,11,9,19,8,12,11,11,16,13,8,9,15,9,16,16,17,13,15,,6.97,20 (2),Not set,- - -,22,0,England,542.0,34.997262149212865,0.0027378507871321013,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eduardo Camavinga,32,72,Professional,9900,,2036-06-30,475000.0,,Spain (First Division),Spanish First Division,2034-03-07,218.0,15,18,15,15,16,15,12,14,14,17,15,13,18,15,16,16,12,15,17,16,16,15,7,10,12,15,13,12,12,16,5,16,16,16,9,14,,7.49,22,Not set,- - -,22,0,Spain,542.0,31.16769336071184,0.8323066392881588,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pape Matar Sarr,32,72,Spirited,9625,,2036-06-30,450000.0,13.75,England (Premier Division),English Premier Division,2034-12-29,13.75,11,17,16,17,15,16,15,11,15,16,14,16,15,16,16,16,13,15,17,15,16,15,8,11,9,17,10,12,7,13,9,13,16,17,12,8,,7.15,18 (1),Not set,- - -,19,0,England,542.0,31.980835044490075,0.019164955509924708,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Manuel Ugarte,33,72,Driven,9565,54.0,2036-06-30,800000.0,51.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-01-04,63.0,18,18,18,14,20,16,13,14,11,19,18,15,17,19,12,15,13,13,16,13,18,13,7,10,8,15,9,11,10,15,9,18,14,15,8,10,Wnt,7.15,19,Not set,- - -,19,0,France,542.0,30.998631074606433,2.001368925393566,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Enzo Fernández,33,70,Ambitious,9439,32.5,2036-06-30,240000.0,103.0,England (Premier Division),English Premier Division,2034-06-05,111.0,15,16,13,15,14,16,15,14,17,14,15,19,15,15,12,14,9,10,13,9,18,9,12,11,12,16,8,15,8,11,9,14,17,18,14,12,,7.16,22,Not set,- - -,22,0,England,542.0,32.41409993155373,0.5859000684462696,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aurélien Tchouameni,34,74,Spirited,9344,7.0,2035-06-30,1300000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-01,86.0,16,17,16,16,16,16,15,12,13,15,14,15,16,16,12,14,14,12,14,13,17,13,10,10,8,16,14,13,8,16,9,17,14,17,12,12,,7.42,27 (1),Not set,- - -,28,0,Saudi Arabia,176.0,32.48596851471595,1.514031485284052,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Frenkie de Jong,37,71,Resolute,9273,0.7,2035-06-30,200000.0,5.75,England (Premier Division),English Premier Division,2034-04-02,80.0,9,18,10,16,16,16,16,13,15,16,16,18,14,15,10,13,10,8,6,6,15,8,12,9,11,17,9,9,5,12,17,12,18,17,13,13,Wnt,6.50,0 (2),Listed,- - -,2,1,England,176.0,36.238877481177276,0.7611225188227242,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Giorgio Scalvini,31,76,Professional,9240,,2036-06-30,475000.0,58.0,England (Premier Division),English Premier Division,2031-06-21,47.5,13,18,14,15,17,15,9,12,8,16,15,13,16,15,16,16,16,14,15,15,16,14,5,12,7,13,15,9,6,15,4,15,13,13,4,10,,7.04,20,Not set,- - -,20,0,England,542.0,27.45722108145106,3.542778918548939,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hugo Larsson,30,74,Professional,9075,111.5,2036-06-30,250000.0,82.0,England (Premier Division),English Premier Division,2032-02-22,81.0,12,16,13,14,15,15,14,15,15,15,13,16,16,16,17,16,14,15,16,13,17,15,12,12,11,16,9,12,7,13,12,14,15,15,12,13,,6.93,24 (1),Not set,- - -,25,0,England,542.0,27.130732375085557,2.869267624914442,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vitinha,34,68,Spirited,9064,,2036-06-30,145000.0,5.5,Spain (First Division),Spanish First Division,2034-12-27,41.0,13,17,15,17,14,16,14,13,16,16,16,17,15,14,15,15,5,12,13,9,15,13,12,13,9,17,6,14,8,13,10,13,16,17,12,11,,7.08,18,Not set,- - -,18,0,Spain,542.0,33.97535934291581,0.024640657084188913,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
