Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Croatia,Country_Czechia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_N.Ireland,Country_Netherlands,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_nan
Eduardo Camavinga,32,72,Professional,9900,,2036-06-30,475000.0,,Spain (First Division),Spanish First Division,2034-03-07,218.0,15,18,15,15,16,15,12,14,14,17,15,13,18,15,16,16,12,15,17,16,16,15,7,10,12,15,13,12,12,16,5,16,16,16,9,14,,7.49,22,Not set,- - -,22,0,Spain,542.0,31.16769336071184,0.8323066392881588,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Joško Gvardiol,32,73,Professional,9753,,2036-06-30,650000.0,77.0,England (Premier Division),English Premier Division,2034-01-31,110.0,15,16,17,17,17,15,14,16,12,16,15,15,16,17,14,15,13,14,14,15,17,15,3,12,9,15,13,9,13,16,7,15,15,15,8,16,Unh,7.25,24,Not set,- - -,24,0,England,542.0,31.071868583162217,0.9281314168377823,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Kayode,30,70,Professional,9570,148.5,2036-06-30,500000.0,50.0,England (Premier Division),English Premier Division,2031-06-20,50.0,12,16,12,14,17,15,11,11,15,16,12,14,16,15,17,17,11,16,16,14,18,16,6,13,11,15,15,9,16,15,6,16,13,15,6,15,,7.16,23,Not set,- - -,23,0,England,542.0,26.45448323066393,3.5455167693360714,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alejandro Balde,31,69,Professional,9515,,2037-06-30,180000.0,46.5,England (Premier Division),English Premier Division,2034-01-28,36.0,12,15,13,14,13,14,14,11,16,13,13,15,15,14,19,14,8,17,15,12,17,17,7,13,10,15,9,10,10,14,8,12,16,13,8,16,,7.19,25,Not set,- - -,25,0,England,907.0,30.06365503080082,0.9363449691991786,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Destiny Udogie,32,74,Resolute,9515,,2036-06-30,775000.0,15.25,England (Premier Division),English Premier Division,2034-07-18,22.0,10,15,12,15,17,15,13,10,15,16,14,14,16,15,17,17,15,16,16,15,16,16,7,12,12,15,12,11,11,14,7,14,15,15,10,16,Inj,7.36,18,Not set,- - -,18,0,England,542.0,31.531827515400412,0.4681724845995893,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sergio Seligrat,23,70,Fairly Professional,9457,195.5,2038-06-30,525000.0,47.0,England (Premier Division),English Premier Division,2033-12-05,47.0,11,15,11,16,14,19,16,8,15,13,14,16,16,13,20,19,9,16,18,13,16,18,8,16,8,13,12,11,10,14,16,12,16,17,10,16,,7.41,24,Not set,- - -,24,0,England,1272.0,21.915811088295687,1.0841889117043122,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alphonso Davies,34,73,Resolute,9385,,2036-06-30,250000.0,0.0,Germany (Bundesliga),Bundesliga,2034-07-05,8.75,15,14,15,13,13,15,16,10,14,14,14,13,16,17,13,13,12,15,13,10,16,17,10,16,11,14,10,10,14,12,14,15,14,13,12,15,,7.17,21,Not set,- - -,21,0,Germany,542.0,33.49623545516769,0.5037645448323066,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nuno Mendes,32,69,Resilient,9266,,2036-06-30,325000.0,34.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-03-23,34.0,13,17,12,15,16,14,12,11,13,14,12,14,14,15,15,15,9,15,14,12,17,16,13,13,10,14,10,11,10,14,8,15,16,14,10,15,,7.07,18 (1),Not set,- - -,19,0,France,542.0,31.211498973305954,0.7885010266940452,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jules Koundé,36,70,Resolute,9104,2.8125,2035-06-30,1500000.0,6.75,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-15,70.0,14,17,15,13,14,15,12,15,11,16,14,13,16,16,10,12,12,9,10,9,16,7,6,9,11,13,13,5,7,16,6,15,14,15,7,15,Ret,7.17,24 (2),Not set,- - -,26,0,Saudi Arabia,176.0,34.5242984257358,1.4757015742642026,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Hickey,32,69,Resolute,9047,,2036-06-30,185000.0,14.0,England (Premier Division),English Premier Division,2034-03-19,15.75,12,15,15,13,15,15,14,11,13,15,15,14,15,15,15,13,10,14,14,12,14,15,11,13,10,14,11,13,11,14,7,13,14,13,8,15,,7.06,21 (2),Not set,- - -,23,0,England,542.0,31.200547570157426,0.7994524298425736,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
