Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Cmd,Pun,TRO,Han,Thr,Ecc,Ref,Kic,1v1,Com,Aer,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Dri,Fir,Hea,Mar,Tck,Tec,Pas,Av Rat,Apps,Transfer Status,Inf,xGP/90,xGP,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_China,Country_Denmark,Country_England,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Norway,Country_Portugal,Country_Qatar,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_Spain,Country_Sweden,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_nan
Adam Flint,24,73,Driven,7306,120.5,2039-06-30,400000.0,47.5,England (Premier Division),English Premier Division,2034-06-28,47.5,15,6,8,12,15,10,16,13,16,15,16,9,16,16,11,14,13,2,8,3,16,14,12,11,20,17,16,16,12,14,14,15,13,3,10,1,1,2,11,12,6.67,20,Not set,,-0.03,-0.55,- - -,20,0,England,1637.0,23.477070499657767,0.5229295003422314,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Guillaume Restes,29,74,Resolute,8964,120.5,2039-06-30,325000.0,10.25,England (Premier Division),English Premier Division,2034-08-03,8.25,14,12,11,13,17,6,16,13,17,15,14,10,17,14,14,16,16,7,14,1,16,11,19,12,16,16,14,15,14,13,13,17,13,1,13,1,1,1,13,15,6.98,25,Not set,,0.05,1.26,- - -,25,0,England,1637.0,28.575633127994525,0.4243668720054757,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chris Falster,21,75,Perfectionist,8616,117.5,2039-06-30,190000.0,96.0,England (Premier Division),English Premier Division,2034-08-16,72.0,14,15,10,18,15,1,16,18,18,15,15,5,15,11,11,16,17,3,8,1,13,8,17,11,15,16,13,17,8,11,14,9,10,2,8,1,2,1,9,11,6.91,26,Not set,,0.13,3.45,- - -,26,0,England,1637.0,20.61122518822724,0.3887748117727584,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rome-Jayden Owusu-Oduro,30,75,Fairly Determined,8313,82.0,2036-06-30,145000.0,41.5,England (Premier Division),English Premier Division,2033-12-05,29.0,16,15,7,13,15,5,13,14,16,15,18,12,15,12,17,14,14,2,12,3,15,11,15,11,15,15,13,17,13,10,12,13,13,2,9,2,2,1,8,14,6.85,26,Not set,,-0.16,-3.80,- - -,26,0,England,542.0,28.915811088295687,1.0841889117043122,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anelka,24,76,Perfectionist,7144,64.5,2037-06-30,120000.0,15.5,England (Premier Division),English Premier Division,2032-07-06,15.5,14,13,11,15,16,1,15,12,15,16,15,6,14,12,14,15,18,3,10,2,14,10,10,7,15,16,16,17,10,10,13,14,9,1,10,1,2,2,8,13,7.78,4,Not set,,1.24,4.94,- - -,4,0,England,907.0,21.50034223134839,2.4996577686516086,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Piercarlo D'Arrigo,26,74,Driven,6268,58.5,2038-06-30,175000.0,67.0,England (Premier Division),English Premier Division,2033-05-27,76.0,17,14,10,15,15,10,15,14,18,14,17,16,14,10,13,15,19,2,10,1,17,7,19,9,18,16,16,17,13,10,14,13,14,2,7,1,3,3,11,15,6.74,21,Not set,,-0.02,-0.50,- - -,21,0,England,1272.0,24.390143737166323,1.6098562628336757,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Claudiu Popa,24,73,Fairly Ambitious,6195,49.0,2038-06-30,98000.0,4.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-05-14,4.0,12,14,12,15,14,2,16,11,16,14,15,8,16,12,11,15,15,3,9,1,14,7,10,12,14,13,18,15,13,12,11,13,13,2,10,1,1,1,8,11,7.63,28,Not set,,0.00,0.00,- - -,28,0,Saudi Arabia,1272.0,22.354551676933607,1.6454483230663928,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nathan Jones,21,75,Resolute,4705,49.0,2038-06-30,34500.0,4.5,England (Premier Division),English Premier Division,2034-01-23,4.5,14,13,18,16,13,2,14,14,13,16,17,8,14,10,13,15,12,3,5,3,15,10,14,14,16,14,13,17,12,13,12,14,9,1,9,1,3,3,11,12,6.03,3,Not set,,-0.49,-1.24,- - -,3,0,England,1272.0,20.04996577686516,0.9500342231348392,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arnau Tenas,33,73,Perfectionist,8522,45.0,2036-06-30,300000.0,32.5,Italy (Serie A),Italian Serie A,2033-05-06,39.0,14,7,8,15,15,12,16,13,17,13,15,12,13,14,13,14,14,10,15,2,14,7,14,8,15,14,15,15,12,12,12,14,13,2,14,6,1,1,13,15,6.79,17,Not set,Bid,-0.08,-1.40,- - -,17,0,Italy,542.0,31.33264887063655,1.6673511293634498,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fabinho,24,79,Fickle,5744,45.0,2039-06-30,94000.0,12.75,Italy (Serie A),Italian Serie A,2034-12-07,12.75,15,10,17,16,15,4,15,13,17,12,18,10,13,12,11,16,14,2,4,1,14,9,11,9,15,13,13,17,11,12,13,13,9,3,11,1,3,2,12,13,6.86,20,Not set,,0.01,0.10,- - -,20,0,Italy,1637.0,23.920602327173167,0.07939767282683094,2.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
