Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Colombia,Country_England,Country_France,Country_Germany,Country_Italy,Country_Netherlands,Country_Spain,Country_nan
Jean-Max Latortue,24,78,Determined,4155,0.425,2037-06-30,20000.0,0.0,France,-,2032-03-22,,7,12,17,13,6,12,14,7,13,7,9,7,13,20,13,11,16,13,15,11,14,12,6,12,15,16,10,7,3,6,3,5,14,6,8,4,Lst,7.08,20,Listed,- - -,20,1,France,149,19.134839151266256,4.865160848733744,4,0.0,False,False,True,False,False,False,False,False
Manuel Carra,24,74,Fairly Professional,3822,2.8,2037-06-30,42500.0,0.0,Spain (Spanish Federation 1B),Spanish Federation First Division B,2032-11-29,,8,13,6,14,9,16,15,16,15,9,12,12,9,12,14,11,13,15,13,10,15,14,9,13,14,15,12,8,3,8,9,6,16,9,9,11,Wnt,6.83,21 (1),Listed,- - -,22,1,Spain,149,19.824777549623548,4.175222450376454,4,0.0,False,False,False,False,False,False,True,False
Fabián García,28,69,Resolute,3490,0.55,2037-06-30,13750.0,1.3,Netherlands (Eredivisie),Eredivisie,2034-06-30,1.4,7,14,9,15,7,13,16,8,15,6,12,9,13,15,15,16,4,15,12,9,11,14,7,11,16,15,9,8,1,8,11,1,15,9,7,7,Wnt,6.88,7 (19),Listed,- - -,26,1,Netherlands,149,25.4072553045859,2.5927446954141,4,495.0,False,False,False,False,False,True,False,False
Tommy McKee,25,72,Fairly Professional,3447,1.4425,2037-06-30,7000.0,,England (Sky Bet League One),Sky Bet League One,2035-02-05,0.475,8,14,15,17,7,12,13,8,16,6,6,7,10,12,13,15,13,15,13,10,14,16,4,15,17,16,8,8,2,4,1,1,13,8,7,8,,6.81,33 (3),Not set,- - -,36,0,England,149,23.00958247775496,1.9904175222450375,4,433.0,False,True,False,False,False,False,False,False
Emiliano Scognamiglio,25,71,Perfectionist,3425,0.35,2037-06-30,32000.0,0.0,Italy (Serie A),Italian Serie A,2032-06-14,,5,11,9,14,7,12,16,8,13,6,11,11,12,15,13,14,10,14,13,12,13,15,6,16,15,12,10,10,3,4,9,2,16,11,6,7,Wnt,6.77,2 (7),Listed,- - -,9,1,Italy,149,20.364818617385353,4.635181382614648,4,498.0,False,False,False,False,True,False,False,False
Jordan Danylyk,26,72,Fairly Professional,3351,3.05,2037-06-30,11000.0,0.0,England (Sky Bet Championship),Sky Bet Championship,2033-07-11,,16,13,12,15,9,11,16,10,15,7,11,16,13,13,15,15,14,13,12,12,15,13,5,15,11,12,10,9,1,5,9,5,16,13,7,10,,6.81,25 (6),Not set,- - -,31,0,England,149,22.438056125941138,3.561943874058864,4,480.0,False,True,False,False,False,False,False,False
Cédric Loiseau,28,72,Fairly Determined,3316,0.88,2037-06-30,13750.0,0.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-05-08,,5,14,3,14,6,12,15,8,16,9,13,12,14,15,12,14,13,11,13,15,15,13,5,12,14,16,8,12,1,4,5,3,15,12,4,6,Wnt,6.91,5 (13),Not set,- - -,18,0,France,149,23.263518138261464,4.736481861738535,4,496.0,False,False,True,False,False,False,False,False
Gernot Hadewicz,24,73,Fairly Professional,3298,0.25,2037-06-30,31500.0,0.0,Germany (Bundesliga),Bundesliga,2034-07-01,,10,12,9,15,7,12,15,1,14,8,13,8,12,12,14,13,15,13,13,12,15,12,9,14,12,12,13,9,3,4,13,6,15,12,7,14,Wnt,-,-,Listed,- - -,0,1,Germany,149,21.409993155373034,2.5900068446269677,4,497.0,False,False,False,True,False,False,False,False
Giorgio Valia,27,74,Perfectionist,3189,0.9,2037-06-30,21500.0,,Italy (Serie A),Italian Serie A,2032-06-29,,6,12,11,14,6,12,15,8,13,5,6,8,9,15,15,16,16,13,14,9,13,15,5,13,15,15,6,6,2,4,2,1,14,10,6,5,Wnt,6.98,1 (5),Listed,- - -,6,1,Italy,149,22.405886379192335,4.594113620807666,4,498.0,False,False,False,False,True,False,False,False
Moritz Präger,23,74,Fairly Professional,2885,0.066,2037-06-30,30000.0,0.0,Germany (Bundesliga),Bundesliga,2034-01-07,,6,12,11,14,4,11,19,14,12,3,12,7,9,12,14,15,13,12,14,8,14,14,4,12,13,13,9,6,2,3,8,1,14,8,9,6,,-,-,Not set,- - -,0,0,Germany,149,19.930869267624914,3.0691307323750854,4,497.0,False,False,False,True,False,False,False,False
Marco Palacios,18,68,Balanced,1757,0.6599999999999999,2037-12-31,800.0,0.0,Colombia (First Division),Colombian First Division,2035-05-17,,11,12,10,13,6,11,15,4,13,2,9,5,5,12,11,16,7,13,13,11,16,12,5,12,14,12,10,6,1,1,6,2,15,7,9,8,Loa,-,-,Not set,- - -,0,0,Colombia,333,16.286105407255306,1.7138945927446954,3,469.0,True,False,False,False,False,False,False,False
