Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_China,Country_Colombia,Country_Croatia,Country_Czechia,Country_Denmark,Country_Ecuador,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Uruguay,Country_nan
Darnel Mason-Clark,23,71,Spirited,5048,19.25,2036-06-30,61000.0,0.0,Portugal (Premier League),Portuguese Premier League,2033-01-06,1.8,10,11,8,9,8,11,16,4,14,5,11,10,12,13,17,11,10,14,16,12,15,15,8,13,9,12,12,7,1,7,12,4,15,13,6,11,,7.28,4 (4),Not set,- - -,8,0,Portugal,542.0,21.0041067761807,1.995893223819302,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomás Brito,26,75,Fairly Determined,6117,21.25,2037-06-30,42500.0,15.25,Belgium (Jupiler Pro League),Jupiler Pro League,2034-06-30,22.0,5,15,9,16,8,15,14,10,15,8,12,16,13,15,14,14,19,12,14,12,11,11,6,14,12,14,9,12,3,5,6,6,14,16,8,12,,6.82,22,Not set,- - -,22,0,Belgium,907.0,25.482546201232033,0.5174537987679672,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Emil Yakisir,27,73,Resolute,3153,1.045,2037-06-30,5250.0,0.625,Portugal (Premier League),Portuguese Premier League,2034-06-30,1.1,5,10,8,15,7,9,11,13,15,3,5,9,10,15,11,10,14,15,11,12,16,15,1,13,14,13,13,9,1,6,3,1,11,6,2,7,,6.73,13 (5),Not set,- - -,18,0,Portugal,907.0,26.482546201232033,0.5174537987679672,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eren Karaca,25,75,Unambitious,2963,0.44,2037-06-30,1300.0,0.5,Türkiye (1. League),Turkish 1. League,2033-06-11,0.725,6,12,11,13,2,11,15,12,14,1,7,7,6,12,13,11,15,12,14,12,16,14,7,6,16,13,9,5,1,1,6,1,15,7,2,5,,6.83,18,Not set,- - -,18,0,Türkiye,907.0,23.431211498973305,1.568788501026694,2.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Kauan Kelvin,29,68,Balanced,3272,0.75,2036-12-31,3300.0,,Brazil (Second Division),Brazilian National Second Division,2033-07-30,0.9,11,13,6,16,9,14,13,10,14,10,8,11,8,14,13,9,5,13,9,9,14,15,9,11,13,14,14,7,1,7,4,2,12,13,4,13,,-,-,Not set,- - -,0,0,Brazil,726.0,27.56536618754278,1.434633812457221,3.0,446.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
José Gómez,24,69,Fairly Determined,9218,109.5,2037-06-30,200000.0,71.0,England (Premier Division),English Premier Division,2033-01-31,71.0,10,15,7,15,13,15,20,13,17,11,12,13,16,16,16,16,6,17,17,13,17,17,11,17,17,12,11,9,2,4,14,3,16,11,11,15,Inj,6.85,19,Not set,- - -,19,0,England,907.0,22.072553045859,1.9274469541409993,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Orhan Bayraktar,22,72,Fairly Determined,3181,1.4375,2037-06-30,9250.0,3.3,Spain (Second Division),Spanish Second Division,2034-07-28,3.0,8,11,8,14,7,10,14,15,15,8,12,10,10,15,14,15,8,13,12,8,7,13,7,15,17,11,7,5,2,4,3,3,15,9,4,10,,6.80,4 (16),Not set,- - -,20,0,Spain,907.0,21.55920602327173,0.4407939767282683,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ander Larrañaga,24,72,Fairly Professional,3747,7.3,2038-06-30,42000.0,7.25,Italy (Serie A),Italian Serie A,2034-08-07,6.5,8,16,8,19,11,16,15,10,16,9,10,17,8,13,16,11,13,13,11,13,13,12,7,15,8,15,12,11,4,9,6,6,14,12,10,7,,6.94,4 (7),Not set,- - -,11,0,Italy,1272.0,23.586584531143053,0.4134154688569473,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Şerefhan Gürcan,25,71,Light-Hearted,2998,0.32999999999999996,2036-06-30,3200.0,0.23,Türkiye (1. League),Turkish 1. League,2033-08-05,0.9,17,12,9,14,4,8,15,8,13,2,13,9,12,15,13,12,13,11,13,12,13,12,7,12,14,12,12,6,2,1,6,1,12,8,10,6,,6.74,2 (12),Not set,- - -,14,0,Türkiye,542.0,23.581793292265573,1.4182067077344285,3.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Luis Fernando,29,69,Fairly Determined,4399,22.0,2037-12-31,25500.0,0.0,Brazil (First Division),Brazilian National First Division,2033-12-14,0.725,11,12,10,13,10,12,13,14,14,11,11,13,12,15,15,10,8,14,12,11,14,13,7,12,13,13,9,11,3,11,5,9,12,12,9,8,,-,-,Not set,- - -,0,0,Brazil,1091.0,27.940451745379878,1.0595482546201231,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
