Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_Cape Verde,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_Eq. Guinea,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Slovenia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_Venezuela,Country_nan
Estêvão,27,70,Fairly Professional,10000,215.0,2038-06-30,475000.0,20.0,Italy (Serie A),Italian Serie A,2033-07-25,20.0,8,15,8,17,12,17,17,15,17,11,12,18,13,10,18,17,7,16,14,14,16,15,13,18,18,16,11,13,13,12,11,11,17,15,14,15,nEU,7.50,19 (2),Not set,- - -,21,0,Italy,1272.0,25.55167693360712,1.4483230663928817,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jamal Musiala,31,72,Professional,10000,,2037-06-30,400000.0,127.0,England (Premier Division),English Premier Division,2035-01-04,98.0,12,16,13,18,12,16,19,8,15,12,13,15,14,16,19,16,12,16,14,12,16,14,10,17,14,16,9,13,5,13,11,10,18,17,13,12,,7.36,16,Not set,- - -,16,0,England,907.0,30.99726214921287,0.0027378507871321013,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jude Bellingham,31,73,Leader,10000,,2037-06-30,675000.0,88.0,Spain (First Division),Spanish First Division,2034-01-04,115.0,17,16,17,18,15,16,18,19,17,13,15,17,17,20,16,16,13,15,15,13,17,15,11,15,15,17,14,13,5,12,14,13,17,17,13,14,,8.02,19,Not set,- - -,19,0,Spain,907.0,29.99794661190965,1.002053388090349,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Vinícius Júnior,34,69,Perfectionist,9990,34.5,2035-06-30,575000.0,0.0,Spain (First Division),Spanish First Division,2032-01-04,40.0,17,17,17,16,12,16,17,14,18,12,13,15,15,20,16,16,7,14,13,9,16,16,10,16,17,16,12,12,4,6,12,8,17,16,12,17,Wnt,7.34,21,Not set,- - -,21,0,Spain,176.0,30.996577686516083,3.0034223134839153,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Florian Wirtz,31,70,Resilient,9978,,2036-06-30,400000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-05-17,77.0,12,15,13,17,13,15,18,13,15,11,12,19,15,16,17,14,6,15,16,12,15,15,15,15,13,16,8,12,5,12,16,11,18,17,15,13,Inj,7.56,18 (1),Not set,- - -,19,0,France,542.0,30.362080766598222,0.6379192334017796,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maurício Durâo,26,68,Driven,9955,,2038-06-30,625000.0,115.0,England (Premier Division),English Premier Division,2033-07-06,157.0,15,15,8,15,15,15,20,12,18,12,12,15,12,19,18,16,8,16,17,13,13,19,12,15,9,14,9,12,5,11,16,9,15,16,13,17,,7.17,22 (2),Not set,- - -,24,0,England,1272.0,24.49965776865161,1.5003422313483916,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kylian Mbappé,36,70,Professional,9891,,2036-06-30,200000.0,159.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2035-01-04,159.0,6,18,12,19,15,16,18,14,18,5,12,16,14,18,14,15,7,15,10,9,16,15,16,13,20,19,8,15,3,7,15,4,19,17,18,15,,7.63,23,Not set,- - -,23,0,France,542.0,35.997262149212865,0.0027378507871321013,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabriel Martinelli,33,71,Professional,9855,32.0,2035-06-30,375000.0,6.0,England (Premier Division),English Premier Division,2032-08-28,6.0,14,15,14,15,14,15,16,8,18,10,16,14,17,17,16,14,11,14,13,11,14,13,16,13,16,16,12,8,4,9,14,8,18,14,14,15,,7.83,4 (11),Not set,- - -,15,0,England,176.0,30.645448323066393,2.3545516769336072,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yannis Castan,26,71,Driven,9844,100.5,2038-06-30,350000.0,136.0,England (Premier Division),English Premier Division,2033-06-24,136.0,8,14,6,14,13,14,16,10,18,11,9,15,11,20,20,18,12,17,16,13,14,18,11,17,12,15,11,12,5,10,16,6,18,13,9,16,,7.24,23,Not set,- - -,23,0,England,1272.0,24.466803559206024,1.5331964407939767,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wassim Claramunt,26,68,Fairly Determined,9790,207.5,2038-06-30,500000.0,74.0,England (Premier Division),English Premier Division,2033-04-23,44.0,9,16,11,14,12,15,18,9,17,11,12,14,14,17,19,17,2,16,17,13,15,16,10,17,12,16,8,16,3,9,14,8,17,16,5,16,,7.87,24 (1),Not set,- - -,25,0,England,1272.0,24.297056810403834,1.702943189596167,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kenan Yıldız,29,73,Resolute,9680,91.5,2036-06-30,375000.0,216.0,England (Premier Division),English Premier Division,2031-07-21,157.0,9,16,12,16,14,15,18,11,16,10,12,16,12,16,17,14,13,15,15,13,15,15,15,16,16,16,8,14,6,9,15,8,16,14,12,15,Wnt,7.14,17,Not set,- - -,17,0,England,542.0,25.539356605065024,3.460643394934976,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pedri,32,69,Fairly Professional,9557,,2036-06-30,450000.0,6.25,Spain (First Division),Spanish First Division,2034-06-12,6.25,10,19,11,19,15,16,17,12,14,12,12,18,16,14,16,14,5,13,14,9,14,14,11,16,11,18,6,12,5,10,12,9,18,17,12,16,,7.46,20,Not set,- - -,20,0,Spain,542.0,31.433264887063654,0.5667351129363449,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Khvicha Kvaratskhelia,33,72,Spirited,9515,,2036-06-30,1700000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-01,16.0,11,12,12,16,13,16,19,12,15,8,12,16,12,17,18,13,10,14,10,11,17,13,10,15,16,19,11,14,4,5,12,8,18,16,16,16,,7.27,30,Not set,- - -,30,0,Saudi Arabia,542.0,32.48528405201917,0.5147159479808351,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mathys Tel,29,72,Model Citizen,9460,203.5,2037-06-30,300000.0,21.5,Germany (Bundesliga),Bundesliga,2032-12-24,21.5,8,14,12,16,14,13,16,15,16,9,12,15,12,16,17,14,14,17,13,14,17,16,12,15,16,14,12,14,6,9,14,7,15,13,15,12,,7.03,20 (2),Not set,- - -,22,0,Germany,907.0,26.968514715947983,2.0314852840520192,0.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
